SDS_ACCOUNT_HISTORY_PRE,ID
SDS_ACCOUNT_PRE,ID
SDS_ASSET_HISTORY_PRE,ID
SDS_ASSET_PRE,ID
SDS_ASSIGNED_RESOURCE_PRE,ID
SDS_FSL_USER_TERRITORY_C_PRE,ID
SDS_OPERATING_HOURS_PRE,ID
SDS_ORDER_HISTORY_PRE,ID
SDS_ORDER_ITEM_HISTORY_PRE,ID
SDS_ORDER_ITEM_PRE,ID
SDS_ORDER_PRE,ID
SDS_OUTGOING_MESSAGE_C_PRE,ID
SDS_PICKLIST_VALUE_INFO_PRE,ID
SDS_PRICEBOOK2_HISTORY_PRE,ID
SDS_PRODUCT2_HISTORY_PRE,ID
SDS_PRODUCT2_PRE,ID
SDS_PSVC_BUNDLE_ADD_ON_C_PRE,ID
SDS_PSVC_BUNDLE_CONFIGURATION_C_PRE,ID
SDS_PSVC_BUNDLE_C_PRE,ID
SDS_PSVC_CLASS_SESSION_C_PRE,ID
SDS_PSVC_DAILY_ACTIVITY_C_PRE,ID
SDS_PSVC_EXCEPTION_HOURS_C_PRE,ID
SDS_PSVC_INVOICE_C_PRE,ID
SDS_PSVC_NOTE_C_PRE,ID
SDS_PSVC_NOTE_HISTORY_PRE,ID
SDS_PSVC_ORDER_PRODUCT_SPECIAL_C_PRE,ID
SDS_PSVC_PACKAGE_PRODUCT_C_PRE,ID
SDS_PSVC_PET_VACCINATION_C_PRE,ID
SDS_PSVC_PRODUCT_BUNDLE_CONFIGURATION_C_PRE,ID
SDS_PSVC_PRODUCT_SPECIAL_C_PRE,ID
SDS_PSVC_REDEMPTION_C_PRE,ID
SDS_PSVC_SCHEDULE_TEMPLATE_C_PRE,ID
SDS_PSVC_SERVICE_CONTRACT_C_PRE,ID
SDS_PSVC_SERVICE_LOCATION_SPECIAL_C_PRE,ID
SDS_PSVC_SERVICE_TEXT_C_PRE,ID
SDS_PSVC_SERVICE_TYPE_GROUP_C_PRE,ID
SDS_PSVC_SERVICE_TYPE_GROUP_SPECIAL_C_PRE,ID
SDS_PSVC_SERVICE_TYPE_PRODUCT_C_PRE,ID
SDS_RECORD_TYPE_PRE,ID
SDS_RESOURCE_ABSENCE_HISTORY_PRE,ID
SDS_RESOURCE_ABSENCE_PRE,ID
SDS_RESOURCE_PREFERENCE_HISTORY_PRE,ID
SDS_RESOURCE_PREFERENCE_PRE,ID
SDS_SERVICE_APPOINTMENT_HISTORY_PRE,ID
SDS_SERVICE_CONTRACT_COMPONENT_PRE,ID
SDS_SERVICE_RESOURCE_HISTORY_PRE,ID
SDS_SERVICE_RESOURCE_SKILL_HISTORY_PRE,ID
SDS_SERVICE_RESOURCE_SKILL_PRE,ID
SDS_SERVICE_TERRITORY_HISTORY_PRE,ID
SDS_SERVICE_TERRITORY_MEMBER_HISTORY_PRE,ID
SDS_SERVICE_TERRITORY_MEMBER_PRE,ID
SDS_SERVICE_TERRITORY_PRE,ID
SDS_SKILL_PRE,ID
SDS_SKILL_REQUIREMENT_HISTORY_PRE,ID
SDS_SKILL_REQUIREMENT_PRE,ID
SDS_TIMESLOT_PRE,ID
SDS_WORK_ORDER_HISTORY_PRE,ID
SDS_WORK_ORDER_LINE_ITEM_HISTORY_PRE,ID
SDS_WORK_ORDER_LINE_ITEM_PRE,ID
SDS_WORK_ORDER_PRE,ID
SDS_WORK_TYPE_HISTORY_PRE,ID
